route_long_name,latitude,longitude
Krishnarajendra Market - Kamanahalli,,
Kempegowda Bus Station - Sarjapura Bus Stand,,
Kempegowda Bus Station - Dodda Gubbi,,
Kempegowda Bus Station - Anagalipura,,
Shivajinagar Bus Station - Dodda Gubbi,,
Shivajinagar Bus Station - Yarappana Bande,,
Kempegowda Bus Station - Bande Bommasandra,,
Raghavendra Colony TR Mill - Yeshwanthpura Railway Station,,
Kengeri TTMC - Chikkabanavara,,
Kempegowda Bus Station - Sheshadri Nagara,,
Kempegowda Bus Station - Dommasandra,,
Krishnarajendra Market - Panathuru Dinne,,
Krishnarajendra Market - Attibele,,
Kempegowda Bus Station - Gunjoor,,
BM English School - Halasur,,
Krishnarajendra Market - Gunjur Palya,,
Krishnarajendra Market - Kodathi,,
Kempegowda Bus Station - Kuguru,,
Uttarahalli - Nagarabhavi Circle,,
Shivajinagar Bus Station - Jyothi Nagara,,
Krishnarajendra Market - Anagalipura,,
Baiyappanahalli Satellite Bus Station - Madiwala MARKET,,
Krishnarajendra Market - Kada Sonappana Halli,,
Mahadeshwara Nagara 16th Main - Bhima Jyothi Nagara,,
Kempegowda Bus Station - Jyothi Nagara,,
Kempegowda Bus Station - Maduranagar,,
Shivajinagar Bus Station - Rampura,,
Hebbal - Hebbala Bridge,13.0425709,77.5898078
Kempegowda Bus Station - Bileshivale,,
Kempegowda Bus Station - Rampura,,
JPNagara 6th Phase - Girinagara Extention,,
Kempegowda Bus Station - Saiyadribalaga Layout,,
JPNagara 6th Phase - Kempegowda Bus Station,,
Electronic City Wipro Gate - Jalahalli cross,,
Krishnarajendra Market - Byala Halli,,
Jayanagara 9th Block - Yeshwanathapura new railway station,,
Krishnarajendra Market - Yarappana Bande,,
Kempegowda Bus Station - Bagaluru,,
Domlur - Katriguppe Kamkya Talkies,,
Shivajinagar Bus Station - Chikkajala,,
Krishnarajendra Market - Munikondappa Badavane,,
Jayanagara 5th Block - Kempegowda Bus Station,,
Marenahalli Bande - Shivajinagar Bus Station,,
Kempegowda Bus Station - Mallasandra Bagalagunte,,
Shanthinagar Bus Stand - Shanthinagar Bus Stand,,
BMT14 - Yeshwanthpur TTMC,,
MS Palya - Marathahalli Bridge,,
Hosakote Bus Stand - Vaidehi Hospital,,
KR Puram - Varthuru,,
MICO Layout Checkpost - Kempegowda Bus Station,,
Sarjapura Bus Stand - Hosakote Bus Stand,,
Shivajinagar Bus Station - JP Nagara 15th Cross,,
Krishnarajendra Market - Halasahalli,,
Attibele - Hosakote Bus Stand,,
Krishnarajendra Market - Harohalli,,
Kempegowda Bus Station - Valepura,,
Brudavana Nagara Jinke vana - Shivajinagar Bus Station,,
Krishnarajendra Market - Bhovi Palya,,
Yelahanka - Dodda Cheemanahalli,,
Krishnarajendra Market - Indrasanahalli,,
Shivajinagar Bus Station - Singanayakanahalli,,
Krishnarajendra Market - Devaganahalli,,
HAL Main Gate - Muthsandra,,
HAL Main Gate - Bellikere,,
Hoskote - Anekal Bus Stand,,
Doddaballapura - Devanahalli,13.2736891,77.562945
Attibele - Hosakote Bus Stand,,
Krishnarajendra Market - Hegganahalli,,
KR Puram Railway Station - Attibele,,
Yelahanka - Vishwanathapura,13.1850788,77.55405751
Kadugodi - Anekal,,
Kempegowda Bus Station - HBR Layout Ist Stage,,
Kempegowda Bus Station - HBR Layout BDA Complex,,
Krishnarajendra Market - Madappanahalli,,
Mahadeshwara Nagara 16th Main - Bagmane Teck Park,,
Depot-13-BS - JPNagara 6th Phase,,
Shivajinagar Bus Station - HBR Layout Ist Stage,,
Shivajinagar Bus Station - Allalasandra Janapriya Apartmet,,
Krishnarajendra Market - Anugondanahalli,,
Shivajinagar Bus Station - Koturu,,
BEL Circle - HAL-LCA,,
Kempegowda Bus Station - Bellikere,,
Borewell - Borewell,55.7386847,-1.9799801
Krishnarajendra Market - Janthagondanahalli,,
Borewell - Borewell,55.7386847,-1.9799801
Krishnarajendra Market - Koturu,,
Shivajinagar Bus Station - Muthsandra,,
Krishnarajendra Market - Bellikere,,
Shivajinagar Bus Station - Kammana Halli,,
Kempegowda Bus Station - Marasandra Bagalur,,
Kempegowda Bus Station - Kalyananagara Bus Stand,,
Shivajinagar Bus Station - HBR Layout 5th Block,,
Kempegowda Bus Station - Yarappanahalli,,
Kempegowda Bus Station - HBR Layout 5th Block,,
Kempegowda Bus Station - Maratahalli Bridge,,
Kempegowda Bus Station - Kada Agrahara,,
Shivajinagar Bus Station - Yelahanka Satelite Town 5th Phase,,
JFWTC - Ambedkar College Circle,,
Jalahalli Cross - Jalahalli Cross,13.0502833,77.525675
Yeshwanthpura TTMC - Chikkabanavara,,
Kempegowda Bus Station - Medarahalli Railway Gate,,
Krishnarajendra Market - Medarahalli Railway Gate,,
Kenchanapura Cross - ORRCA-ECOSPICE,,
Shivajinagar Bus Station - Nerige,,
